Metric,Bias,Bias,Bias,Bias,RMSE,RMSE,RMSE,RMSE,CRPS,CRPS,CRPS,CRPS,SCRPS,SCRPS,SCRPS,SCRPS
Model,AnEn,A2E,CA2E,SA2E,AnEn,A2E,CA2E,SA2E,AnEn,A2E,CA2E,SA2E,AnEn,A2E,CA2E,SA2E
Location_25,-0.1184727326035499,-0.0528103075921535,-0.0681496486067771,-0.06377283483743668,0.8248489499092102,0.8409360647201538,0.8349245190620422,0.7915054559707642,0.3463661670684814,0.3305661678314209,0.3226867318153381,0.32944080233573914,0.8037717342376709,0.789504885673523,0.7747912406921387,0.7873013615608215
Location_26,-0.2933881282806396,-0.0896613895893096,-0.1079263016581535,-0.10687199980020523,0.8957685828208923,0.8590912818908691,0.8666720390319824,0.8072770237922668,0.4161718785762787,0.3640396296977997,0.3574446439743042,0.3607032299041748,0.915542483329773,0.8417314887046814,0.8226380944252014,0.8396301865577698
Location_27,-0.0813033729791641,-0.0270282085984945,-0.0470598898828029,-0.04938189685344696,0.990879774093628,1.0061904191970823,0.9981955885887146,0.923382580280304,0.4283771216869354,0.4051496088504791,0.3957008421421051,0.3982144892215729,0.912675142288208,0.8915026187896729,0.8739465475082397,0.8821189999580383
Location_28,0.1120098307728767,0.0836971625685691,0.0785157531499862,0.11693574488162994,0.7504400014877319,0.7773146033287048,0.7794686555862427,0.7360057830810547,0.3011551201343536,0.299697607755661,0.2884806394577026,0.2992282807826996,0.7426560521125793,0.7459102869033813,0.7251980304718018,0.7417547702789307
Location_29,-0.0359417200088501,0.0360882394015789,0.0239485278725624,0.08938328176736832,0.8110572099685669,0.8400962352752686,0.8174813389778137,0.7956389784812927,0.3400612771511078,0.3313958942890167,0.319735050201416,0.337202250957489,0.7965437769889832,0.7933247089385986,0.7669946551322937,0.8013949990272522
Location_30,0.0482749454677104,0.0705746635794639,0.0594051145017147,0.10539081692695618,0.7176772356033325,0.741066575050354,0.7382709980010986,0.6718112826347351,0.2859260141849518,0.2809197306632995,0.276321679353714,0.27628666162490845,0.7130561470985413,0.7123453617095947,0.6984500885009766,0.7006242275238037
Location_31,0.0648169666528701,0.061485931277275,0.0613598152995109,0.023178555071353912,0.8370783925056458,0.8789829015731812,0.8937703967094421,0.8511682748794556,0.3639634847640991,0.3603902161121368,0.3651847541332245,0.36126163601875305,0.8273467421531677,0.8273482322692871,0.8259167671203613,0.8267502784729004
Location_32,-0.1641609817743301,-0.0469908900558948,-0.022493053227663,-0.042542487382888794,0.7268357276916504,0.7079892158508301,0.7007817625999451,0.6678934693336487,0.3231747150421142,0.2940475344657898,0.2833806276321411,0.28415557742118835,0.7728487849235535,0.7289212942123413,0.703726053237915,0.7159887552261353
Location_33,-0.0387870334088802,-0.020127722993493,0.0055043003521859,0.0018249009735882282,0.8187964558601379,0.842063307762146,0.8347375988960266,0.763325035572052,0.3512936234474182,0.3372876644134521,0.3284550607204437,0.32297393679618835,0.8149899840354919,0.7998289465904236,0.7817493081092834,0.7808337807655334
Location_34,-0.063684731721878,0.0106195611879229,0.0278912149369716,-0.03302697464823723,0.8601846098899841,0.8990713953971863,0.8643661737442017,0.8239899277687073,0.3612073361873626,0.353694200515747,0.3368763327598572,0.35154616832733154,0.8304031491279602,0.8279553055763245,0.7983404994010925,0.8239747285842896
Location_35,-0.0045269886031746,0.0279484037309885,0.0442759245634079,0.05135699734091759,0.8426066637039185,0.8597528338432312,0.8509325385093689,0.7981104850769043,0.3595896065235138,0.3398967683315277,0.3371113836765289,0.33963170647621155,0.8210291862487793,0.8017270565032959,0.7954148054122925,0.8009563088417053
Location_36,-0.0147654181346297,0.0479932427406311,0.017796428874135,-0.0032348334789276123,0.7122521996498108,0.7076840996742249,0.7005344033241272,0.6332314610481262,0.2946462631225586,0.28257617354393,0.2717061638832092,0.27559658885002136,0.7265722155570984,0.7119844555854797,0.6869637966156006,0.7016194462776184
Location_37,0.0190415009856224,0.0348043628036975,0.0254334416240453,-0.01166582852602005,0.8251311182975769,0.865824818611145,0.8585590124130249,0.8031083941459656,0.3512066304683685,0.3560793697834015,0.344375878572464,0.3533581495285034,0.8121188282966614,0.8258572220802307,0.7977474927902222,0.8231664299964905
Location_38,-0.2035454660654068,-0.0977294817566871,-0.0199878085404634,-0.07022085040807724,0.7565886378288269,0.7654724717140198,0.75570148229599,0.7227712869644165,0.3430995047092438,0.3079157769680023,0.2946305871009826,0.3069455325603485,0.8040671944618225,0.7530564069747925,0.7231233716011047,0.7491103410720825
