Location,Training_Bias,Test_Bias_Uncorrected,Test_Bias_Corrected,RMSE_Uncorrected,RMSE_Corrected,CRPS_Uncorrected,CRPS_Corrected,SCRPS_Uncorrected,SCRPS_Corrected
0.0,-0.1277446299791336,-0.12833933532238007,-0.0005946783348917961,0.7287411689758301,0.7206178307533264,0.311264306306839,0.3026838004589081,0.7579840421676636,0.7433376908302307
1.0,-0.11369406431913376,0.022886116057634354,0.13658015429973602,0.677522599697113,0.6888264417648315,0.27711570262908936,0.28826797008514404,0.6988556981086731,0.7197135090827942
2.0,-0.10865457355976105,0.05578404664993286,0.16443859040737152,0.8123162984848022,0.8275901079177856,0.3361252248287201,0.3502103090286255,0.7963587641716003,0.8200451135635376
3.0,-0.16649280488491058,-0.027611054480075836,0.13888174295425415,0.8196099400520325,0.8308390378952026,0.3239678740501404,0.3361643850803375,0.7762134075164795,0.7969340682029724
4.0,-0.2191840559244156,-0.09969127923250198,0.1194927841424942,0.7505276799201965,0.7579035758972168,0.32045644521713257,0.32733258605003357,0.768312394618988,0.7849152684211731
5.0,-0.061183348298072815,-0.08419502526521683,-0.02301160804927349,0.8629851341247559,0.8604300022125244,0.34835609793663025,0.3456483781337738,0.8102807998657227,0.8070822358131409
6.0,-0.013320635072886944,-0.011207370087504387,0.0021132766269147396,0.9226836562156677,0.9229024052619934,0.3965255320072174,0.39664730429649353,0.8681317567825317,0.8686307668685913
7.0,0.062301572412252426,0.08443762362003326,0.02213604375720024,0.7448173761367798,0.7398329973220825,0.3056997060775757,0.30130988359451294,0.7426614761352539,0.7335582375526428
8.0,0.1313159465789795,0.2531585991382599,0.1218426451086998,0.849557638168335,0.8259601593017578,0.3512917757034302,0.329271137714386,0.8168111443519592,0.7843210697174072
9.0,-0.2729340195655823,-0.08225342631340027,0.19068054854869843,0.7885935306549072,0.8071770071983337,0.32607272267341614,0.34437504410743713,0.7786332368850708,0.8105534315109253
10.0,-0.1633080095052719,-0.08777027577161789,0.07553771883249283,0.731015682220459,0.7326995134353638,0.30983930826187134,0.31115618348121643,0.7541999220848083,0.760759711265564
11.0,0.08165330439805984,0.11641227453947067,0.03475896269083023,0.7944292426109314,0.7861281037330627,0.32852619886398315,0.32151246070861816,0.777295708656311,0.7646440863609314
