Location,Training_Bias,Test_Bias_Uncorrected,Test_Bias_Corrected,RMSE_Uncorrected,RMSE_Corrected,CRPS_Uncorrected,CRPS_Corrected,SCRPS_Uncorrected,SCRPS_Corrected
0.0,-0.04370461404323578,-0.12262274324893951,-0.0789182037115097,0.6912524700164795,0.6862024068832397,0.29515963792800903,0.29002895951271057,0.7320123314857483,0.7228440642356873
1.0,-0.003413038095459342,0.02960311248898506,0.03301616758108139,0.6257703304290771,0.625868558883667,0.2729187309741974,0.273030161857605,0.6947238445281982,0.6949631571769714
2.0,0.0059117903001606464,0.15280722081661224,0.1468953937292099,0.7973853349685669,0.7964578866958618,0.3367641568183899,0.3358612358570099,0.8011296391487122,0.7997027635574341
3.0,0.00949942972511053,-0.04237296059727669,-0.05187239870429039,0.7833338379859924,0.7838447093963623,0.30894243717193604,0.30942416191101074,0.7579825520515442,0.7587513327598572
4.0,-0.0149675402790308,0.05415770784020424,0.06912518292665482,0.6569828391075134,0.6581313014030457,0.2805050313472748,0.2816821038722992,0.7169401049613953,0.7192332744598389
5.0,-0.00396425137296319,0.033296942710876465,0.0372612327337265,0.8276716470718384,0.8277768492698669,0.3309130370616913,0.3309953808784485,0.7914544343948364,0.7915571928024292
6.0,-0.022305401042103767,-0.05187042057514191,-0.029564984142780304,0.8703011274337769,0.8702021837234497,0.37865495681762695,0.37838390469551086,0.8513525128364563,0.8515246510505676
7.0,0.030228884890675545,0.05981848016381264,0.0295895803719759,0.7215464115142822,0.7195127606391907,0.3010402023792267,0.2992863357067108,0.7447470426559448,0.7411397695541382
8.0,0.023586615920066833,0.13590820133686066,0.11232157051563263,0.7547322511672974,0.7516402006149292,0.30994075536727905,0.3068702220916748,0.7612971067428589,0.7560511231422424
9.0,-0.013397928327322006,0.005993977189064026,0.019391853362321854,0.7597384452819824,0.7598851919174194,0.32238227128982544,0.3224792182445526,0.7765135169029236,0.7765711545944214
10.0,-0.0166173093020916,-0.009617091156542301,0.007000213023275137,0.6593799591064453,0.6595758199691772,0.289145827293396,0.28931519389152527,0.7277262210845947,0.7283419966697693
11.0,0.034034453332424164,0.1102605015039444,0.07622605562210083,0.7880145907402039,0.7841338515281677,0.32979917526245117,0.3262253999710083,0.7809301018714905,0.7745380997657776
12.0,0.015250026248395443,0.10074778646230698,0.08549776673316956,0.7232908606529236,0.7218106985092163,0.31135129928588867,0.309889018535614,0.7611632347106934,0.758644700050354
13.0,-0.0156879760324955,-0.06221127137541771,-0.0465233214199543,0.8742892146110535,0.8738893866539001,0.39553049206733704,0.3951684534549713,0.8789702653884888,0.8787744045257568
14.0,-0.04609482362866402,0.05475961044430733,0.10085445642471313,0.7081180810928345,0.712158203125,0.31189531087875366,0.3159308433532715,0.7609498500823975,0.7684211730957031
15.0,0.01045648381114006,0.11551788449287415,0.1050613597035408,0.7418366074562073,0.7405842542648315,0.31275150179862976,0.31155210733413696,0.7646650671958923,0.7626212239265442
16.0,-0.010463394224643707,0.01935115084052086,0.02981453575193882,0.8065893054008484,0.8069239854812622,0.3465813994407654,0.34690070152282715,0.8191826343536377,0.8197256326675415
17.0,-0.042396631091833115,-0.00815755408257246,0.0342390313744545,0.7195515036582947,0.7203130722045898,0.29728934168815613,0.2980479300022125,0.7401636838912964,0.7415444850921631
18.0,0.013930476270616055,0.09627930819988251,0.08234884589910507,0.8586017489433289,0.8573849201202393,0.3504205644130707,0.34929946064949036,0.8146705627441406,0.8130031228065491
19.0,-0.07381907105445862,-0.014083871617913246,0.05973523482680321,0.8270978927612305,0.8298804759979248,0.35591980814933777,0.3585234582424164,0.8246764540672302,0.8304221034049988
20.0,-0.020662229508161545,0.005558581091463566,0.02622085250914097,0.7059015035629272,0.7064282298088074,0.29621824622154236,0.296722412109375,0.7364664673805237,0.7373561859130859
21.0,-0.007159004919230938,-0.08021672070026398,-0.07305768132209778,0.7458943128585815,0.7453109622001648,0.3288824260234833,0.32824423909187317,0.7897772789001465,0.7886307835578918
22.0,-0.03650062531232834,-0.001740226405672729,0.03476037457585335,0.6716278195381165,0.6721375584602356,0.2872283160686493,0.2877262830734253,0.721359372138977,0.7225205302238464
23.0,0.027328738942742348,0.10879233479499817,0.08146354556083679,0.758204460144043,0.7553795576095581,0.3031770884990692,0.3005313575267792,0.7496075630187988,0.745460569858551
24.0,-0.017376242205500603,-0.08920756727457047,-0.07183132320642471,0.8741714954376221,0.8728650212287903,0.365543395280838,0.36417829990386963,0.8382140398025513,0.836190938949585
25.0,-0.0027311157900840044,-0.06374980509281158,-0.061018653213977814,0.7914567589759827,0.7912935018539429,0.32942479848861694,0.32925382256507874,0.7872946858406067,0.7870185971260071
26.0,-0.025429019704461098,-0.10680929571390152,-0.0813802108168602,0.8073071837425232,0.8049987554550171,0.360732764005661,0.35834476351737976,0.8397152423858643,0.8359322547912598
27.0,0.0002515479573048651,-0.04931238666176796,-0.04956398159265518,0.9234941005706787,0.9235016703605652,0.3982487618923187,0.3982577323913574,0.8821450471878052,0.8821573853492737
28.0,-0.010558177717030048,0.11690540611743927,0.12746353447437286,0.7360398769378662,0.7374017238616943,0.2992505729198456,0.3006882667541504,0.7417705059051514,0.7441589832305908
29.0,0.0004245951713528484,0.08940344303846359,0.08897886425256729,0.7955802083015442,0.7955378890037537,0.33719491958618164,0.33715781569480896,0.8013796806335449,0.8013159036636353
30.0,0.0023724250495433807,0.10542958229780197,0.10305717587471008,0.6719247698783875,0.6716347932815552,0.27635622024536133,0.2760572135448456,0.7007659673690796,0.7001907229423523
31.0,0.03286869823932648,0.023121224716305733,-0.009747483767569065,0.8510393500328064,0.8492822051048279,0.36121365427970886,0.35985898971557617,0.8266993761062622,0.8233705163002014
32.0,-0.029495829716324806,-0.04244181886315346,-0.012946067377924919,0.6679055094718933,0.6668232679367065,0.28414255380630493,0.2830859124660492,0.7160162925720215,0.7139631509780884
33.0,0.001148095354437828,0.00180453946813941,0.000656462216284126,0.7633239030838013,0.7633273005485535,0.3229762315750122,0.32298004627227783,0.7809115052223206,0.7809196710586548
