Location,Training_Bias,Test_Bias_Uncorrected,Test_Bias_Corrected,RMSE_Uncorrected,RMSE_Corrected,CRPS_Uncorrected,CRPS_Corrected,SCRPS_Uncorrected,SCRPS_Corrected
0.0,0.00908616092056036,0.009376514703035355,0.0002903739514295012,0.7385374903678894,0.7384229898452759,0.2875044643878937,0.28742334246635437,0.7196716070175171,0.7195044159889221
1.0,-0.015354490838944912,0.022280504927039146,0.037634994834661484,0.7189542651176453,0.7194272875785828,0.27072638273239136,0.271146297454834,0.6860301494598389,0.6866812705993652
2.0,-0.024629168212413788,0.07897838950157166,0.10360750555992126,0.8273820877075195,0.8301981091499329,0.3226841986179352,0.3251381814479828,0.7757951617240906,0.7798381447792053
3.0,0.014899532310664654,0.03718381002545357,0.022284237667918205,0.8434794545173645,0.8430923223495483,0.31383606791496277,0.3134312331676483,0.7657818794250488,0.7652834057807922
4.0,-0.013811695389449596,0.01258290745317936,0.026394525542855263,0.7690693736076355,0.7694394588470459,0.3023075759410858,0.30259090662002563,0.7392218708992004,0.7397100925445557
5.0,-0.005641780328005552,-0.010664907284080982,-0.005023108795285225,0.8542580008506775,0.8542566299438477,0.32435986399650574,0.3243076205253601,0.7758052945137024,0.7757843732833862
6.0,0.04142080992460251,0.01744943857192993,-0.023971350863575935,0.942122220993042,0.9413900375366211,0.37120944261550903,0.3710258901119232,0.8414052128791809,0.8396891355514526
7.0,0.0501624271273613,0.06063494458794594,0.010472587309777737,0.7811062335968018,0.7787548899650574,0.2931320071220398,0.29136115312576294,0.7232263684272766,0.7196661829948425
8.0,0.09990447759628296,0.15788006782531738,0.057975538074970245,0.8574674129486084,0.8467482328414917,0.3225432336330414,0.3127272129058838,0.7819793820381165,0.767799437046051
9.0,-0.10189196467399597,-0.021369971334934235,0.08052202314138412,0.8106775283813477,0.8150539994239807,0.30955541133880615,0.312865674495697,0.7529121041297913,0.7586482167243958
10.0,-0.019487790763378143,0.019424989819526672,0.0389128103852272,0.7282031774520874,0.7290229201316833,0.28644710779190063,0.2871452867984772,0.7122992873191833,0.7138065695762634
11.0,0.06703082472085953,0.0920332819223404,0.025002427399158478,0.8334724307060242,0.8283337950706482,0.32420143485069275,0.3201035261154175,0.7703063488006592,0.762904942035675
12.0,0.0032814142759889364,0.043479014188051224,0.04019760712981224,0.7795606851577759,0.7794152498245239,0.2970638871192932,0.2969403862953186,0.7319341897964478,0.7317327857017517
13.0,-0.04298866540193558,-0.03351238742470741,0.00947636179625988,0.9035703539848328,0.9044753909111023,0.3751259744167328,0.37550872564315796,0.8453096747398376,0.8470174074172974
14.0,-0.09275209158658981,0.01148070115596056,0.10423273593187332,0.8194049596786499,0.8269977569580078,0.3205145001411438,0.3264380097389221,0.7608975172042847,0.7719578742980957
15.0,0.09159164130687714,0.14246775209903717,0.05087610334157944,0.8850991129875183,0.8765062093734741,0.3301236033439636,0.32228249311447144,0.7942771315574646,0.7830777764320374
16.0,-0.048567309975624084,0.018680447712540627,0.06724774837493896,0.8379243612289429,0.8406214714050293,0.3357737958431244,0.3382391631603241,0.7951675057411194,0.799604594707489
17.0,-0.03683888167142868,-0.0023275837302207947,0.0345112569630146,0.7785627841949463,0.7796971201896667,0.2976394295692444,0.2985500991344452,0.7366237044334412,0.7384121417999268
18.0,0.0326998308300972,0.083455890417099,0.05075601115822792,0.9483562707901001,0.9462464451789856,0.35217392444610596,0.3505552113056183,0.8174031972885132,0.8149358034133911
19.0,-0.07131393998861313,-0.016331307590007782,0.05498259514570236,0.8507025241851807,0.853770911693573,0.3376605212688446,0.3394114375114441,0.7926788926124573,0.796546995639801
20.0,-0.026728909462690353,0.023066699504852295,0.04979563131928444,0.7615715861320496,0.7631130814552307,0.29346543550491333,0.2947467863559723,0.7281490564346313,0.730588972568512
21.0,-0.03991730511188507,-0.025575535371899605,0.014341777190566063,0.7899856567382812,0.7901199460029602,0.31985145807266235,0.3196963667869568,0.7633296847343445,0.763451874256134
22.0,-0.035514749586582184,0.004732644651085138,0.04024745151400566,0.735830545425415,0.7368333339691162,0.28557881712913513,0.28639617562294006,0.7140089273452759,0.7154545187950134
23.0,-0.014322425238788128,0.10472255945205688,0.11904498934745789,0.782390296459198,0.7841849327087402,0.2891053259372711,0.29071205854415894,0.7270769476890564,0.7295903563499451
24.0,-0.002167146885767579,-0.026116235181689262,-0.023949051275849342,0.8834913969039917,0.88344407081604,0.3545266389846802,0.3544718623161316,0.8132391571998596,0.8131648898124695
25.0,-0.09518998116254807,-0.06814964860677719,0.02704036235809326,0.8349245190620422,0.8342291712760925,0.32268673181533813,0.3211309015750885,0.7747912406921387,0.7737563848495483
26.0,-0.015276984311640263,-0.10792630165815353,-0.09264936298131943,0.8666720390319824,0.8652792572975159,0.3574446439743042,0.35598132014274597,0.8226380944252014,0.8207452297210693
27.0,-0.022492356598377228,-0.04705988988280296,-0.024567484855651855,0.9981955885887146,0.9980795979499817,0.3957008421421051,0.39531344175338745,0.8739465475082397,0.8739747405052185
28.0,-0.01897413283586502,0.07851575314998627,0.09748993068933487,0.7794686555862427,0.7811601161956787,0.28848063945770264,0.2902117967605591,0.7251980304718018,0.727820634841919
29.0,-0.05322422459721565,0.02394852787256241,0.07717276364564896,0.8174813389778137,0.8209702372550964,0.319735050201416,0.3224949538707733,0.7669946551322937,0.771856427192688
30.0,-0.01473159622400999,0.059405114501714706,0.07413668185472488,0.7382709980010986,0.7393200993537903,0.276321679353714,0.27734506130218506,0.6984500885009766,0.7001486420631409
31.0,0.06233075261116028,0.061359815299510956,-0.000970921479165554,0.8937703967094421,0.8895012140274048,0.3651847541332245,0.36166954040527344,0.8259167671203613,0.8183919787406921
32.0,-0.027840083464980125,-0.02249305322766304,0.00534707261249423,0.7007817625999451,0.7007781863212585,0.2833806276321411,0.283336341381073,0.703726053237915,0.7039594650268555
33.0,-0.018105296418070793,0.005504300352185965,0.023609627038240433,0.8347375988960266,0.8351362943649292,0.3284550607204437,0.3287109434604645,0.7817493081092834,0.7822345495223999
34.0,-0.02373720519244671,0.027891214936971664,0.051628489047288895,0.8643661737442017,0.865570604801178,0.3368763327598572,0.33788394927978516,0.7983404994010925,0.8000568151473999
35.0,-0.009493491612374783,0.0442759245634079,0.053769420832395554,0.8509325385093689,0.8516100645065308,0.33711138367652893,0.33764904737472534,0.7954148054122925,0.7963593006134033
36.0,-0.03497159108519554,0.017796428874135017,0.05276799201965332,0.7005344033241272,0.7021382451057434,0.27170616388320923,0.2731703817844391,0.6869637966156006,0.6895301342010498
37.0,0.026739761233329773,0.025433441624045372,-0.0013063030783087015,0.8585590124130249,0.8577219247817993,0.344375878572464,0.3437556326389313,0.7977474927902222,0.7964483499526978
38.0,-0.01877831481397152,-0.019987808540463448,-0.0012094964040443301,0.75570148229599,0.755628764629364,0.29463058710098267,0.2945357859134674,0.7231233716011047,0.7231687903404236
39.0,-0.06568308919668198,-0.0012637635227292776,0.06441929191350937,0.8620398044586182,0.864906907081604,0.34604883193969727,0.3485032618045807,0.8099464774131775,0.8146950602531433
40.0,-0.004599572159349918,0.025758229196071625,0.03035779856145382,0.6994345784187317,0.6995774507522583,0.2684461772441864,0.2685883343219757,0.6823017001152039,0.6825786828994751
41.0,-0.01731325127184391,0.03634275868535042,0.05365606024861336,0.7894853949546814,0.7904048562049866,0.30755090713500977,0.30840808153152466,0.7519955039024353,0.7535037994384766
